File,WordCount,NumPara,AvgParaSize,Nouns,Verbs,Adjectives,Adverbs,Total
1000245_TheJodimars.txt,822,13,63,371,84,36,18,509
1001027_ListOfPostalCodesInAustria.txt,630,10,63,205,18,23,3,249
1001476_Tercio.txt,657,10,65,226,79,56,27,388
1002122_UssArcherfishss311.txt,2045,32,63,848,222,115,37,1222
1002126_HighCrimesAndMisdemeanours.txt,587,11,53,205,73,39,11,328
1002128_GiantMagnetoresistiveEffect.txt,701,22,31,278,68,89,23,458
1002502_FreedomTowerSilverDollar.txt,977,17,57,418,121,56,30,625
1002560_RockyMountainArsenal.txt,889,14,63,347,119,44,22,532
1003230_RichardPatrick.txt,649,10,64,200,101,52,26,379
1003234_BattleOfImphal.txt,2498,43,58,862,367,219,86,1534
100340_Millipede.txt,722,17,42,249,104,66,46,465
100345_Venevisin.txt,796,19,41,284,97,87,17,485
100347_VctorRalHayaDeLaTorre.txt,652,17,38,237,87,45,20,389
100350_TheWildTheInnocentTheEStreetShuffle.txt,1364,28,48,546,189,109,51,895
100355_ListOfChinesePeople.txt,1658,41,40,1317,24,86,27,1454
1003663_AmonGCarter.txt,666,13,51,285,67,49,12,413
100374_BalanceSheet.txt,1019,28,36,403,120,73,40,636
100381_SammoHung.txt,1865,29,64,811,176,91,51,1129
100383_MadridBarajasInternationalAirport.txt,1400,19,73,853,91,81,20,1045
100384_WillemalexanderPrinceOfOrange.txt,883,24,36,380,85,65,14,544
100385_TsuiHark.txt,2409,37,65,1207,168,172,62,1609
100390_OpusDei.txt,3718,63,59,1433,523,281,134,2371
100393_MortificationOfTheFlesh.txt,4709,83,56,1477,686,379,180,2722
100394_EthelMerman.txt,1890,27,70,805,229,81,45,1160
1004311_SolomonKane.txt,985,20,49,454,102,65,36,657
1004325_HorstPHorst.txt,969,23,42,371,121,53,30,575
1005294_Kentrosaurus.txt,599,12,49,201,80,45,28,354
1005302_Chasmosaurus.txt,635,12,52,198,105,52,35,390
1005304_NigerUraniumForgeries.txt,4131,59,70,1572,641,237,129,2579
1005314_Hypsilophodon.txt,685,15,45,206,112,70,41,429
1005384_MartinFeldstein.txt,622,8,77,266,65,46,13,390
